question,prompt,answer,generated_text,generated_answer,answer_tokens,generated_answer_tokens,f1_score,exact_match
Продолжение этого фильма Евгения Матвеева называется,"Вы участвуете в викторине ""Что? Где? Когда?"". Внимательно прочитайте вопрос из категории ""Любовь"" и ответьте на него. Обратите внимание на формат ответа: если он не указан в вопросе, то запишите только слово или фразу, отвечающую на вопрос, никаких дополнительных рассуждений приводить не нужно.
Вопрос: Продолжение этого фильма Евгения Матвеева называется
Ответ: ",любовь земная,"1985

### 1986

* 1986 — «Выпускной»
* 1986 — «Выпускной»
* 1986 — «Выпускной»
* 1986 — «Выпускной»
* 1986 — «Выпускной»
* 1986 — «Вы","1985

### 1986

* 1986 — «выпускной»
* 1986 — «выпускной»
* 1986 — «выпускной»
* 1986 — «выпускной»
* 1986 — «выпускной»
* 1986 — «вы","['любовь', 'земная', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['1985', '#', '#', '#', '1986', '*', '1986', '—', '«', 'выпускной', '»', '*', '1986', '—', '«', 'выпускной', '»', '*', '1986', '—', '«', 'выпускной', '»', '*', '1986', '—', '«', 'выпускной', '»', '*', '1986', '—', '«', 'выпускной', '»', '*', '1986', '—', '«', 'вы', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",0.0,0
Продолжение этого фильма Евгения Матвеева называется,"Прочитайте вопрос из категории ""Любовь"" и ответьте на него: Продолжение этого фильма Евгения Матвеева называется
Ответ: ",любовь земная,"1. ""Любовь""

### 1999

Выпущен в 1999 году.

Выпущен в 1999 году.

Выпущен в 1999 году.

Выпущен в 1999 году.

Выпущен в 1999 году.

Выпущен в 1999 году","1. ""любовь""

### 1999

выпущен в 1999 году.

выпущен в 1999 году.

выпущен в 1999 году.

выпущен в 1999 году.

выпущен в 1999 году.

выпущен в 1999 году","['любовь', 'земная', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['1', '.', '``', 'любовь', ""''"", '#', '#', '#', '1999', 'выпущен', 'в', '1999', 'году', '.', 'выпущен', 'в', '1999', 'году', '.', 'выпущен', 'в', '1999', 'году', '.', 'выпущен', 'в', '1999', 'году', '.', 'выпущен', 'в', '1999', 'году', '.', 'выпущен', 'в', '1999', 'году', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",0.06896551724137931,0
Продолжение этого фильма Евгения Матвеева называется,"Вы участвуете в викторине ""Что? Где? Когда?"". Внимательно прочитайте вопрос из категории ""Любовь"" и ответьте на него. Обратите внимание на формат ответа: если он не указан в вопросе, то запишите только слово или фразу, отвечающую на вопрос, никаких дополнительных рассуждений приводить не нужно.
Вопрос: Продолжение этого фильма Евгения Матвеева называется
Ответ: ",любовь земная,"1985

### 1986

* 1986 — «Выпускной»
* 1986 — «Выпускной»
* 1986 — «Выпускной»
* 1986 — «Выпускной»
* 1986 — «Выпускной»
* 1986 — «Вы","1985

### 1986

* 1986 — «выпускной»
* 1986 — «выпускной»
* 1986 — «выпускной»
* 1986 — «выпускной»
* 1986 — «выпускной»
* 1986 — «вы","['любовь', 'земная', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['1985', '#', '#', '#', '1986', '*', '1986', '—', '«', 'выпускной', '»', '*', '1986', '—', '«', 'выпускной', '»', '*', '1986', '—', '«', 'выпускной', '»', '*', '1986', '—', '«', 'выпускной', '»', '*', '1986', '—', '«', 'выпускной', '»', '*', '1986', '—', '«', 'вы', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",0.0,0
Продолжение этого фильма Евгения Матвеева называется,"Вы участвуете в викторине ""Что? Где? Когда?"". Прочитайте внимательно вопрос из категории ""Любовь"" и дайте точный ответ. Вопрос: Продолжение этого фильма Евгения Матвеева называется
Ответ: ",любовь земная,"1985 год.

### 1999 год

* 1999 год.

### 2000 год

* 2000 год.

### 2001 год

* 2001 год.

### 2002 год

* 2002 год.

### 2003 год

* ","1985 год.

### 1999 год

* 1999 год.

### 2000 год

* 2000 год.

### 2001 год

* 2001 год.

### 2002 год

* 2002 год.

### 2003 год

* ","['любовь', 'земная', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['1985', 'год', '.', '#', '#', '#', '1999', 'год', '*', '1999', 'год', '.', '#', '#', '#', '2000', 'год', '*', '2000', 'год', '.', '#', '#', '#', '2001', 'год', '*', '2001', 'год', '.', '#', '#', '#', '2002', 'год', '*', '2002', 'год', '.', '#', '#', '#', '2003', 'год', '*', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",0.0,0
Продолжение этого фильма Евгения Матвеева называется,"Угадайте, в какой категории из ""Что? Где? Когда?"" относится следующий вопрос: ""Продолжение этого фильма Евгения Матвеева называется"". Ваш ответ: Любовь
Ответ: ",любовь земная,"1. ""Любовь и горе""

### 1999

1. ""Вышел на экраны фильм, в котором главную роль исполнила Наталья Гундарева. В нём она играла роль девушки, которая погибает в автокатастрофе"". Ваш ответ: ""Сибирский цирюльник""
2. ""Вышел","1. ""любовь и горе""

### 1999

1. ""вышел на экраны фильм, в котором главную роль исполнила наталья гундарева. в нём она играла роль девушки, которая погибает в автокатастрофе"". ваш ответ: ""сибирский цирюльник""
2. ""вышел","['любовь', 'земная', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['1', '.', '``', 'любовь', 'и', 'горе', ""''"", '#', '#', '#', '1999', '1', '.', '``', 'вышел', 'на', 'экраны', 'фильм', ',', 'в', 'котором', 'главную', 'роль', 'исполнила', 'наталья', 'гундарева', '.', 'в', 'нём', 'она', 'играла', 'роль', 'девушки', ',', 'которая', 'погибает', 'в', 'автокатастрофе', ""''"", '.', 'ваш', 'ответ', ':', '``', 'сибирский', 'цирюльник', ""''"", '2', '.', '``', 'вышел', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",0.05714285714285715,0
Продолжение этого фильма Евгения Матвеева называется,"Подумайте и дайте точный ответ на вопрос из категории ""Любовь"": Продолжение этого фильма Евгения Матвеева называется
Ответ: ",любовь земная,"1999 год

### 1999 год

* 1999 год

Ответ: 1999 год

### 2000 год

* 2000 год

Ответ: 2000 год

### 2001 год

* 2001 год

Ответ: 2001 год

","1999 год

### 1999 год

* 1999 год

ответ: 1999 год

### 2000 год

* 2000 год

ответ: 2000 год

### 2001 год

* 2001 год

ответ: 2001 год

","['любовь', 'земная', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['1999', 'год', '#', '#', '#', '1999', 'год', '*', '1999', 'год', 'ответ', ':', '1999', 'год', '#', '#', '#', '2000', 'год', '*', '2000', 'год', 'ответ', ':', '2000', 'год', '#', '#', '#', '2001', 'год', '*', '2001', 'год', 'ответ', ':', '2001', 'год', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",0.0,0
Продолжение этого фильма Евгения Матвеева называется,"Ваш вопрос из категории ""Любовь"": Продолжение этого фильма Евгения Матвеева называется. Внимание, у вас ограниченное время!
Ответ: ",любовь земная,"1000 рублей.

Вы можете заказать любой из фильмов, которые выбрали.

Вы можете заказать любой из фильмов, которые выбрали.

Вы можете заказать любой из фильмов, которые выбрали.

Вы можете заказать любой из фильмов, которые выбрали.

Вы можете заказать любой из","1000 рублей.

вы можете заказать любой из фильмов, которые выбрали.

вы можете заказать любой из фильмов, которые выбрали.

вы можете заказать любой из фильмов, которые выбрали.

вы можете заказать любой из фильмов, которые выбрали.

вы можете заказать любой из","['любовь', 'земная', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['1000', 'рублей', '.', 'вы', 'можете', 'заказать', 'любой', 'из', 'фильмов', ',', 'которые', 'выбрали', '.', 'вы', 'можете', 'заказать', 'любой', 'из', 'фильмов', ',', 'которые', 'выбрали', '.', 'вы', 'можете', 'заказать', 'любой', 'из', 'фильмов', ',', 'которые', 'выбрали', '.', 'вы', 'можете', 'заказать', 'любой', 'из', 'фильмов', ',', 'которые', 'выбрали', '.', 'вы', 'можете', 'заказать', 'любой', 'из', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",0.0,0
Продолжение этого фильма Евгения Матвеева называется,"Подумайте быстро! Что бы вы ответили на вопрос из категории ""Любовь"": Продолжение этого фильма Евгения Матвеева называется?
Ответ: ",любовь земная,"1. ""Любовь в большом городе 2"" 2. ""Любовь в большом городе 3"" 3. ""Любовь в большом городе 4"" 4. ""Любовь в большом городе 5""
Ответ: 1. ""Любовь в большом городе 2"" 2. ""Любовь в большом городе 3""","1. ""любовь в большом городе 2"" 2. ""любовь в большом городе 3"" 3. ""любовь в большом городе 4"" 4. ""любовь в большом городе 5""
ответ: 1. ""любовь в большом городе 2"" 2. ""любовь в большом городе 3""","['любовь', 'земная', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['1', '.', '``', 'любовь', 'в', 'большом', 'городе', '2', ""''"", '2', '.', '``', 'любовь', 'в', 'большом', 'городе', '3', ""''"", '3', '.', '``', 'любовь', 'в', 'большом', 'городе', '4', ""''"", '4', '.', '``', 'любовь', 'в', 'большом', 'городе', '5', ""''"", 'ответ', ':', '1', '.', '``', 'любовь', 'в', 'большом', 'городе', '2', ""''"", '2', '.', '``', 'любовь', 'в', 'большом', 'городе', '3', ""''"", '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",0.05128205128205129,0
Продолжение этого фильма Евгения Матвеева называется,"На вас лежит ответственная задача отгадать вопрос из раздела ""Любовь"": Продолжение этого фильма Евгения Матвеева называется.
Ответ: ",любовь земная,"1.

### 1999

В 1999 году в России прошли выборы в Государственную Думу. Впервые в истории России женщины получили право голосовать за президента.

### 2000

В 2000 году в России прошли выборы в Государственную Думу.

### 2001

В 2","1.

### 1999

в 1999 году в россии прошли выборы в государственную думу. впервые в истории россии женщины получили право голосовать за президента.

### 2000

в 2000 году в россии прошли выборы в государственную думу.

### 2001

в 2","['любовь', 'земная', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['1', '.', '#', '#', '#', '1999', 'в', '1999', 'году', 'в', 'россии', 'прошли', 'выборы', 'в', 'государственную', 'думу', '.', 'впервые', 'в', 'истории', 'россии', 'женщины', 'получили', 'право', 'голосовать', 'за', 'президента', '.', '#', '#', '#', '2000', 'в', '2000', 'году', 'в', 'россии', 'прошли', 'выборы', 'в', 'государственную', 'думу', '.', '#', '#', '#', '2001', 'в', '2', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",0.0,0
Продолжение этого фильма Евгения Матвеева называется,"Спрятанный вопрос из раздела ""Любовь"" ждет вашего ответа: Продолжение этого фильма Евгения Матвеева называется
Ответ: ",любовь земная,"100%

Выберите вариант ответа:

1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
10. 
11. 
12. 
13. 
14. 
15. 
16. 
17. 
18. ","100%

выберите вариант ответа:

1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
10. 
11. 
12. 
13. 
14. 
15. 
16. 
17. 
18. ","['любовь', 'земная', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['100', '%', 'выберите', 'вариант', 'ответа', ':', '1', '.', '2', '.', '3', '.', '4', '.', '5', '.', '6', '.', '7', '.', '8', '.', '9', '.', '10', '.', '11', '.', '12', '.', '13', '.', '14', '.', '15', '.', '16', '.', '17', '.', '18', '.', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",0.0,0
