question,prompt,answer,generated_text,generated_answer,answer_tokens,generated_answer_tokens,f1_score,exact_match
Продолжение этого фильма Евгения Матвеева называется,"Вы участвуете в викторине ""Что? Где? Когда?"". Внимательно прочитайте вопрос из категории ""Любовь"" и ответьте на него. Обратите внимание на формат ответа: если он не указан в вопросе, то запишите только слово или фразу, отвечающую на вопрос, никаких дополнительных рассуждений приводить не нужно.
Вопрос: Продолжение этого фильма Евгения Матвеева называется
Ответ: ",любовь земная,"

""Что? Где? Когда?""

Внимательно прочитайте ответ отвечающего на вопрос.

Вопрос: Как вы понимаете, что происходит в фильме Евгения Матвеева ""Что? Где? Когда?""
Ответ: 

""Любовь""

Внимательно прочитайте ответ отвечающего на вопрос","

""что? где? когда?""

внимательно прочитайте ответ отвечающего на вопрос.

вопрос: как вы понимаете, что происходит в фильме евгения матвеева ""что? где? когда?""
ответ: 

""любовь""

внимательно прочитайте ответ отвечающего на вопрос","['любовь', 'земная', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[""''"", 'что', '?', 'где', '?', 'когда', '?', ""''"", 'внимательно', 'прочитайте', 'ответ', 'отвечающего', 'на', 'вопрос', '.', 'вопрос', ':', 'как', 'вы', 'понимаете', ',', 'что', 'происходит', 'в', 'фильме', 'евгения', 'матвеева', '``', 'что', '?', 'где', '?', 'когда', '?', ""''"", 'ответ', ':', ""''"", 'любовь', ""''"", 'внимательно', 'прочитайте', 'ответ', 'отвечающего', 'на', 'вопрос', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",0.0625,0
Продолжение этого фильма Евгения Матвеева называется,"Прочитайте вопрос из категории ""Любовь"" и ответьте на него: Продолжение этого фильма Евгения Матвеева называется
Ответ: ",любовь земная,"

Да, продолжение этого фильма Евгения Матвеева называется ""Долгие годы"".","

да, продолжение этого фильма евгения матвеева называется ""долгие годы"".","['любовь', 'земная', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['да', ',', 'продолжение', 'этого', 'фильма', 'евгения', 'матвеева', 'называется', '``', 'долгие', 'годы', ""''"", '.', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",0.0,0
Продолжение этого фильма Евгения Матвеева называется,"Вы участвуете в викторине ""Что? Где? Когда?"". Внимательно прочитайте вопрос из категории ""Любовь"" и ответьте на него. Обратите внимание на формат ответа: если он не указан в вопросе, то запишите только слово или фразу, отвечающую на вопрос, никаких дополнительных рассуждений приводить не нужно.
Вопрос: Продолжение этого фильма Евгения Матвеева называется
Ответ: ",любовь земная,"

""Что? Где? Когда?""

Внимательно прочитайте ответ отвечающего на вопрос.

Вопрос: Как вы понимаете, что происходит в фильме Евгения Матвеева ""Что? Где? Когда?""
Ответ: 

""Любовь""

Внимательно прочитайте ответ отвечающего на вопрос","

""что? где? когда?""

внимательно прочитайте ответ отвечающего на вопрос.

вопрос: как вы понимаете, что происходит в фильме евгения матвеева ""что? где? когда?""
ответ: 

""любовь""

внимательно прочитайте ответ отвечающего на вопрос","['любовь', 'земная', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[""''"", 'что', '?', 'где', '?', 'когда', '?', ""''"", 'внимательно', 'прочитайте', 'ответ', 'отвечающего', 'на', 'вопрос', '.', 'вопрос', ':', 'как', 'вы', 'понимаете', ',', 'что', 'происходит', 'в', 'фильме', 'евгения', 'матвеева', '``', 'что', '?', 'где', '?', 'когда', '?', ""''"", 'ответ', ':', ""''"", 'любовь', ""''"", 'внимательно', 'прочитайте', 'ответ', 'отвечающего', 'на', 'вопрос', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",0.0625,0
Продолжение этого фильма Евгения Матвеева называется,"Вы участвуете в викторине ""Что? Где? Когда?"". Прочитайте внимательно вопрос из категории ""Любовь"" и дайте точный ответ. Вопрос: Продолжение этого фильма Евгения Матвеева называется
Ответ: ",любовь земная,"1. ""Что? Где? Когда?""
2. ""Когда?""
3. ""Когда?""
4. ""Когда?""
5. ""Когда?""
6. ""Когда?""
7. ""Когда?""
8. ""Когда?""
9. ""Когда?""
10. ""Когда?""
11. ""Когда?""
12. ""Когда?""
13. ""Когда?""","1. ""что? где? когда?""
2. ""когда?""
3. ""когда?""
4. ""когда?""
5. ""когда?""
6. ""когда?""
7. ""когда?""
8. ""когда?""
9. ""когда?""
10. ""когда?""
11. ""когда?""
12. ""когда?""
13. ""когда?""","['любовь', 'земная', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['1', '.', '``', 'что', '?', 'где', '?', 'когда', '?', ""''"", '2', '.', '``', 'когда', '?', ""''"", '3', '.', '``', 'когда', '?', ""''"", '4', '.', '``', 'когда', '?', ""''"", '5', '.', '``', 'когда', '?', ""''"", '6', '.', '``', 'когда', '?', ""''"", '7', '.', '``', 'когда', '?', ""''"", '8', '.', '``', 'когда', '?', ""''"", '9', '.', '``', 'когда', '?', ""''"", '10', '.', '``', 'когда', '?', ""''"", '11', '.', '``', 'когда', '?', ""''"", '12', '.', '``', 'когда', '?', ""''"", '13', '.', '``', 'когда', '?', ""''"", '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",0.0,0
Продолжение этого фильма Евгения Матвеева называется,"Угадайте, в какой категории из ""Что? Где? Когда?"" относится следующий вопрос: ""Продолжение этого фильма Евгения Матвеева называется"". Ваш ответ: Любовь
Ответ: ",любовь земная,"1. Любовь

2. Любовь

3. Любовь

4. Любовь

5. Любовь

6. Любовь

7. Любовь

8. Любовь

9. Любовь

10. Любовь

11. Любовь

12. Любовь

13. Любовь

14. Любов","1. любовь

2. любовь

3. любовь

4. любовь

5. любовь

6. любовь

7. любовь

8. любовь

9. любовь

10. любовь

11. любовь

12. любовь

13. любовь

14. любов","['любовь', 'земная', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['1.', 'любовь', '2.', 'любовь', '3.', 'любовь', '4.', 'любовь', '5.', 'любовь', '6.', 'любовь', '7.', 'любовь', '8.', 'любовь', '9.', 'любовь', '10.', 'любовь', '11.', 'любовь', '12.', 'любовь', '13.', 'любовь', '14.', 'любов', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",0.06666666666666667,0
"С ЭТИМ ЧЕЛОВЕКОМ, 33-м потомком Нина, Державин сравнивает богатого и ленивого вельможу.","Вы участвуете в викторине ""Что? Где? Когда?"". Внимательно прочитайте вопрос из категории ""Гласные - только ""А"""" и ответьте на него. Обратите внимание на формат ответа: если он не указан в вопросе, то запишите только слово или фразу, отвечающую на вопрос, никаких дополнительных рассуждений приводить не нужно.
Вопрос: С ЭТИМ ЧЕЛОВЕКОМ, 33-м потомком Нина, Державин сравнивает богатого и ленивого вельможу.
Ответ: ",сарданапал,"1. Богатый вельмож, 2. Ленивый вельмож.
Вопрос: В каком городе жил Нина, 33-м потомком Державина?
Ответ: В городе, где жил Нина, 33-м потомком Державина, не указан.
Вопрос: В каком городе жил Нина, 33-м по","1. богатый вельмож, 2. ленивый вельмож.
вопрос: в каком городе жил нина, 33-м потомком державина?
ответ: в городе, где жил нина, 33-м потомком державина, не указан.
вопрос: в каком городе жил нина, 33-м по","['сарданапал', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['1.', 'богатый', 'вельмож', ',', '2.', 'ленивый', 'вельмож', '.', 'вопрос', ':', 'в', 'каком', 'городе', 'жил', 'нина', ',', '33-м', 'потомком', 'державина', '?', 'ответ', ':', 'в', 'городе', ',', 'где', 'жил', 'нина', ',', '33-м', 'потомком', 'державина', ',', 'не', 'указан', '.', 'вопрос', ':', 'в', 'каком', 'городе', 'жил', 'нина', ',', '33-м', 'по', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",0.0,0
"С ЭТИМ ЧЕЛОВЕКОМ, 33-м потомком Нина, Державин сравнивает богатого и ленивого вельможу.","Прочитайте вопрос из категории ""Гласные - только ""А"""" и ответьте на него: С ЭТИМ ЧЕЛОВЕКОМ, 33-м потомком Нина, Державин сравнивает богатого и ленивого вельможу.
Ответ: ",сарданапал,"33-м потомком Нины, Державина сравнивает богатого и ленивого вельможу.","33-м потомком нины, державина сравнивает богатого и ленивого вельможу.","['сарданапал', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['33-м', 'потомком', 'нины', ',', 'державина', 'сравнивает', 'богатого', 'и', 'ленивого', 'вельможу', '.', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",0.0,0
"С ЭТИМ ЧЕЛОВЕКОМ, 33-м потомком Нина, Державин сравнивает богатого и ленивого вельможу.","Вы участвуете в викторине ""Что? Где? Когда?"". Внимательно прочитайте вопрос из категории ""Гласные - только ""А"""" и ответьте на него. Обратите внимание на формат ответа: если он не указан в вопросе, то запишите только слово или фразу, отвечающую на вопрос, никаких дополнительных рассуждений приводить не нужно.
Вопрос: С ЭТИМ ЧЕЛОВЕКОМ, 33-м потомком Нина, Державин сравнивает богатого и ленивого вельможу.
Ответ: ",сарданапал,"1. Богатый вельмож, 2. Ленивый вельмож.
Вопрос: В каком городе жил Нина, 33-м потомком Державина?
Ответ: В городе, где жил Нина, 33-м потомком Державина, не указан.
Вопрос: В каком городе жил Нина, 33-м по","1. богатый вельмож, 2. ленивый вельмож.
вопрос: в каком городе жил нина, 33-м потомком державина?
ответ: в городе, где жил нина, 33-м потомком державина, не указан.
вопрос: в каком городе жил нина, 33-м по","['сарданапал', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['1.', 'богатый', 'вельмож', ',', '2.', 'ленивый', 'вельмож', '.', 'вопрос', ':', 'в', 'каком', 'городе', 'жил', 'нина', ',', '33-м', 'потомком', 'державина', '?', 'ответ', ':', 'в', 'городе', ',', 'где', 'жил', 'нина', ',', '33-м', 'потомком', 'державина', ',', 'не', 'указан', '.', 'вопрос', ':', 'в', 'каком', 'городе', 'жил', 'нина', ',', '33-м', 'по', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",0.0,0
"С ЭТИМ ЧЕЛОВЕКОМ, 33-м потомком Нина, Державин сравнивает богатого и ленивого вельможу.","Вы участвуете в викторине ""Что? Где? Когда?"". Прочитайте внимательно вопрос из категории ""Гласные - только ""А"""" и дайте точный ответ. Вопрос: С ЭТИМ ЧЕЛОВЕКОМ, 33-м потомком Нина, Державин сравнивает богатого и ленивого вельможу.
Ответ: ",сарданапал,33-м потомком Нины Державина.,33-м потомком нины державина.,"['сарданапал', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['33-м', 'потомком', 'нины', 'державина', '.', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",0.0,0
"С ЭТИМ ЧЕЛОВЕКОМ, 33-м потомком Нина, Державин сравнивает богатого и ленивого вельможу.","Угадайте, в какой категории из ""Что? Где? Когда?"" относится следующий вопрос: ""С ЭТИМ ЧЕЛОВЕКОМ, 33-м потомком Нина, Державин сравнивает богатого и ленивого вельможу."". Ваш ответ: Гласные - только ""А""
Ответ: ",сарданапал,33-м потомком Нины Державина является богатый и ленивый вельможа.,33-м потомком нины державина является богатый и ленивый вельможа.,"['сарданапал', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['33-м', 'потомком', 'нины', 'державина', 'является', 'богатый', 'и', 'ленивый', 'вельможа', '.', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",0.0,0
